pais,codigo,nombre del indicador,CO2,periodo
Canada,CAN,CO2 emissions (metric tons per capita),10.77084729,1960
México,MEX,CO2 emissions (metric tons per capita),1.653382376,1960
Estados Unidos,USA,CO2 emissions (metric tons per capita),15.99977916,1960
Canada,CAN,CO2 emissions (metric tons per capita),10.62789765,1961
México,MEX,CO2 emissions (metric tons per capita),1.657749762,1961
Estados Unidos,USA,CO2 emissions (metric tons per capita),15.68125552,1961
Canada,CAN,CO2 emissions (metric tons per capita),11.13062748,1962
México,MEX,CO2 emissions (metric tons per capita),1.569744495,1962
Estados Unidos,USA,CO2 emissions (metric tons per capita),16.0139375,1962
Canada,CAN,CO2 emissions (metric tons per capita),11.1321024,1963
México,MEX,CO2 emissions (metric tons per capita),1.58230541,1963
Estados Unidos,USA,CO2 emissions (metric tons per capita),16.48276215,1963
Canada,CAN,CO2 emissions (metric tons per capita),12.3053704,1964
México,MEX,CO2 emissions (metric tons per capita),1.716861248,1964
Estados Unidos,USA,CO2 emissions (metric tons per capita),16.96811858,1964
Canada,CAN,CO2 emissions (metric tons per capita),12.81400147,1965
México,MEX,CO2 emissions (metric tons per capita),1.6862776480000001,1965
Estados Unidos,USA,CO2 emissions (metric tons per capita),17.45172525,1965
Canada,CAN,CO2 emissions (metric tons per capita),12.93491815,1966
México,MEX,CO2 emissions (metric tons per capita),1.758940757,1966
Estados Unidos,USA,CO2 emissions (metric tons per capita),18.12107301,1966
Canada,CAN,CO2 emissions (metric tons per capita),13.8103546,1967
México,MEX,CO2 emissions (metric tons per capita),1.8996882590000002,1967
Estados Unidos,USA,CO2 emissions (metric tons per capita),18.59831788,1967
Canada,CAN,CO2 emissions (metric tons per capita),14.632645199999999,1968
México,MEX,CO2 emissions (metric tons per capita),1.922298042,1968
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.08938916,1968
Canada,CAN,CO2 emissions (metric tons per capita),14.61864861,1969
México,MEX,CO2 emissions (metric tons per capita),2.028564787,1969
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.85794566,1969
Canada,CAN,CO2 emissions (metric tons per capita),16.01414875,1970
México,MEX,CO2 emissions (metric tons per capita),2.192453215,1970
Estados Unidos,USA,CO2 emissions (metric tons per capita),21.11125227,1970
Canada,CAN,CO2 emissions (metric tons per capita),16.29009027,1971
México,MEX,CO2 emissions (metric tons per capita),2.351864333,1971
Estados Unidos,USA,CO2 emissions (metric tons per capita),20.98020348,1971
Canada,CAN,CO2 emissions (metric tons per capita),17.329425,1972
México,MEX,CO2 emissions (metric tons per capita),2.387595326,1972
Estados Unidos,USA,CO2 emissions (metric tons per capita),21.74864198,1972
Canada,CAN,CO2 emissions (metric tons per capita),17.05995183,1973
México,MEX,CO2 emissions (metric tons per capita),2.5190521,1973
Estados Unidos,USA,CO2 emissions (metric tons per capita),22.51058213,1973
Canada,CAN,CO2 emissions (metric tons per capita),17.12344306,1974
México,MEX,CO2 emissions (metric tons per capita),2.623328776,1974
Estados Unidos,USA,CO2 emissions (metric tons per capita),21.50293038,1974
Canada,CAN,CO2 emissions (metric tons per capita),17.11161334,1975
México,MEX,CO2 emissions (metric tons per capita),2.7019188780000003,1975
Estados Unidos,USA,CO2 emissions (metric tons per capita),20.40222407,1975
Canada,CAN,CO2 emissions (metric tons per capita),16.97924845,1976
México,MEX,CO2 emissions (metric tons per capita),2.940391892,1976
Estados Unidos,USA,CO2 emissions (metric tons per capita),21.15761537,1976
Canada,CAN,CO2 emissions (metric tons per capita),17.15211666,1977
México,MEX,CO2 emissions (metric tons per capita),2.997045312,1977
Estados Unidos,USA,CO2 emissions (metric tons per capita),21.53248401,1977
Canada,CAN,CO2 emissions (metric tons per capita),17.30306507,1978
México,MEX,CO2 emissions (metric tons per capita),3.371456166,1978
Estados Unidos,USA,CO2 emissions (metric tons per capita),21.97300469,1978
Canada,CAN,CO2 emissions (metric tons per capita),18.2093278,1979
México,MEX,CO2 emissions (metric tons per capita),3.557455847,1979
Estados Unidos,USA,CO2 emissions (metric tons per capita),21.78043698,1979
Canada,CAN,CO2 emissions (metric tons per capita),18.02276896,1980
México,MEX,CO2 emissions (metric tons per capita),3.8703916510000003,1980
Estados Unidos,USA,CO2 emissions (metric tons per capita),20.78648774,1980
Canada,CAN,CO2 emissions (metric tons per capita),17.26921369,1981
México,MEX,CO2 emissions (metric tons per capita),4.00790346,1981
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.76676417,1981
Canada,CAN,CO2 emissions (metric tons per capita),16.45944925,1982
México,MEX,CO2 emissions (metric tons per capita),4.198720036,1982
Estados Unidos,USA,CO2 emissions (metric tons per capita),18.59049523,1982
Canada,CAN,CO2 emissions (metric tons per capita),16.0546492,1983
México,MEX,CO2 emissions (metric tons per capita),3.75277087,1983
Estados Unidos,USA,CO2 emissions (metric tons per capita),18.57154371,1983
Canada,CAN,CO2 emissions (metric tons per capita),16.55885484,1984
México,MEX,CO2 emissions (metric tons per capita),3.663535056,1984
Estados Unidos,USA,CO2 emissions (metric tons per capita),18.97675027,1984
Canada,CAN,CO2 emissions (metric tons per capita),16.27010385,1985
México,MEX,CO2 emissions (metric tons per capita),3.7292992289999995,1985
Estados Unidos,USA,CO2 emissions (metric tons per capita),18.88231274,1985
Canada,CAN,CO2 emissions (metric tons per capita),15.45768406,1986
México,MEX,CO2 emissions (metric tons per capita),3.731708041,1986
Estados Unidos,USA,CO2 emissions (metric tons per capita),18.72072272,1986
Canada,CAN,CO2 emissions (metric tons per capita),16.24667458,1987
México,MEX,CO2 emissions (metric tons per capita),3.8179538710000003,1987
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.35033442,1987
Canada,CAN,CO2 emissions (metric tons per capita),16.95682428,1988
México,MEX,CO2 emissions (metric tons per capita),3.7408940719999997,1988
Estados Unidos,USA,CO2 emissions (metric tons per capita),20.01041341,1988
Canada,CAN,CO2 emissions (metric tons per capita),16.92078279,1989
México,MEX,CO2 emissions (metric tons per capita),4.323620233,1989
Estados Unidos,USA,CO2 emissions (metric tons per capita),20.07576978,1989
Canada,CAN,CO2 emissions (metric tons per capita),15.65907038,1990
México,MEX,CO2 emissions (metric tons per capita),3.7305007389999996,1990
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.32275118,1990
Canada,CAN,CO2 emissions (metric tons per capita),15.14925974,1991
México,MEX,CO2 emissions (metric tons per capita),3.8124850980000002,1991
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.05616319,1991
Canada,CAN,CO2 emissions (metric tons per capita),15.46230657,1992
México,MEX,CO2 emissions (metric tons per capita),3.767921409,1992
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.13943728,1992
Canada,CAN,CO2 emissions (metric tons per capita),15.45362956,1993
México,MEX,CO2 emissions (metric tons per capita),3.746878153,1993
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.34708291,1993
Canada,CAN,CO2 emissions (metric tons per capita),15.692875899999999,1994
México,MEX,CO2 emissions (metric tons per capita),3.820068506,1994
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.36089205,1994
Canada,CAN,CO2 emissions (metric tons per capita),15.93097506,1995
México,MEX,CO2 emissions (metric tons per capita),3.538889585,1995
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.27654526,1995
Canada,CAN,CO2 emissions (metric tons per capita),16.15737155,1996
México,MEX,CO2 emissions (metric tons per capita),3.6203056489999996,1996
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.49602474,1996
Canada,CAN,CO2 emissions (metric tons per capita),16.51685906,1997
México,MEX,CO2 emissions (metric tons per capita),3.801014279,1997
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.69036318,1997
Canada,CAN,CO2 emissions (metric tons per capita),16.7460786,1998
México,MEX,CO2 emissions (metric tons per capita),3.937272843,1998
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.5792362,1998
Canada,CAN,CO2 emissions (metric tons per capita),16.89846016,1999
México,MEX,CO2 emissions (metric tons per capita),3.904180812,1999
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.72716951,1999
Canada,CAN,CO2 emissions (metric tons per capita),17.36711469,2000
México,MEX,CO2 emissions (metric tons per capita),3.916478182,2000
Estados Unidos,USA,CO2 emissions (metric tons per capita),20.17875051,2000
Canada,CAN,CO2 emissions (metric tons per capita),16.98502952,2001
México,MEX,CO2 emissions (metric tons per capita),4.006881616,2001
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.63650507,2001
Canada,CAN,CO2 emissions (metric tons per capita),16.55937785,2002
México,MEX,CO2 emissions (metric tons per capita),3.970934988,2002
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.61340408,2002
Canada,CAN,CO2 emissions (metric tons per capita),17.46119914,2003
México,MEX,CO2 emissions (metric tons per capita),4.16704652,2003
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.56410453,2003
Canada,CAN,CO2 emissions (metric tons per capita),17.25891114,2004
México,MEX,CO2 emissions (metric tons per capita),4.124551403,2004
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.65837118,2004
Canada,CAN,CO2 emissions (metric tons per capita),17.25108328,2005
México,MEX,CO2 emissions (metric tons per capita),4.299365235,2005
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.59188523,2005
Canada,CAN,CO2 emissions (metric tons per capita),16.69669436,2006
México,MEX,CO2 emissions (metric tons per capita),4.353173578,2006
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.09406652,2006
Canada,CAN,CO2 emissions (metric tons per capita),16.85588274,2007
México,MEX,CO2 emissions (metric tons per capita),4.296635487,2007
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.21789784,2007
Canada,CAN,CO2 emissions (metric tons per capita),16.87519788,2008
México,MEX,CO2 emissions (metric tons per capita),4.339644436,2008
Estados Unidos,USA,CO2 emissions (metric tons per capita),18.46176387,2008
Canada,CAN,CO2 emissions (metric tons per capita),15.96156016,2009
México,MEX,CO2 emissions (metric tons per capita),4.120600766,2009
Estados Unidos,USA,CO2 emissions (metric tons per capita),17.15773779,2009
Canada,CAN,CO2 emissions (metric tons per capita),15.723167000000002,2010
México,MEX,CO2 emissions (metric tons per capita),3.9576576639999996,2010
Estados Unidos,USA,CO2 emissions (metric tons per capita),17.44216612,2010
Canada,CAN,CO2 emissions (metric tons per capita),15.63975962,2011
México,MEX,CO2 emissions (metric tons per capita),4.067755192,2011
Estados Unidos,USA,CO2 emissions (metric tons per capita),16.97345609,2011
Canada,CAN,CO2 emissions (metric tons per capita),14.89063564,2012
México,MEX,CO2 emissions (metric tons per capita),4.1076863139999995,2012
Estados Unidos,USA,CO2 emissions (metric tons per capita),16.304286800000003,2012
Canada,CAN,CO2 emissions (metric tons per capita),14.71197182,2013
México,MEX,CO2 emissions (metric tons per capita),4.001602493,2013
Estados Unidos,USA,CO2 emissions (metric tons per capita),16.31435182,2013
Canada,CAN,CO2 emissions (metric tons per capita),15.11715878,2014
México,MEX,CO2 emissions (metric tons per capita),3.866241113,2014
Estados Unidos,USA,CO2 emissions (metric tons per capita),16.49060839,2014
